Age,Attrition,DistanceFromHome,Education,EmployeeID,JobLevel,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,in_mean_minutes,out_mean_minutes,work_duration_mean_minutes,in_std_minutes,out_std_minutes,missing_in_rate,missing_out_rate,valid_days_count,late_arrival_rate,early_leave_rate,time_features_imputed
37,0,5,1,28,1,27050,1.0,11,0,17.0,2,17,5,7,4.0,4.0,3.0,3,3,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,599.5228107344633,1055.78947740113,456.26666666666665,18.00524887116225,26.442349640771003,0.09578544061302682,0.09578544061302682,236,0.5127118644067796,0.0,0
44,1,1,2,29,2,103330,3.0,14,1,19.0,2,1,0,0,4.0,3.0,1.0,2,3,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,600.9989711934156,1259.6541152263376,658.6551440329218,15.642649960583444,24.336532092508545,0.06896551724137931,0.06896551724137931,243,0.5061728395061729,0.0,0
38,0,2,3,30,1,44480,9.0,12,0,10.0,3,2,1,2,4.0,4.0,3.0,2,3,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,599.5467391304347,1009.4232608695653,409.8765217391304,18.086582633760468,24.760237591629647,0.11877394636015326,0.11877394636015326,230,0.4956521739130435,0.013043478260869565,0
26,1,4,3,31,3,68540,2.0,11,0,5.0,5,3,0,2,1.0,2.0,3.0,2,3,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,600.3081232492997,1206.872619047619,606.5644957983194,16.926012967662047,25.452397232831792,0.08812260536398467,0.08812260536398467,238,0.5,0.0,0
28,0,7,3,32,1,96370,1.0,13,0,5.0,6,5,0,2,4.0,4.0,3.0,2,3,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,598.6646005509641,1001.2445592286501,402.57995867768597,17.815858292157902,27.136563122541315,0.07279693486590039,0.07279693486590039,242,0.48760330578512395,0.06611570247933884,0
49,0,1,1,33,2,35910,9.0,13,0,22.0,2,3,1,2,3.0,1.0,3.0,3,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,600.5029202279203,1231.5957977207975,631.0928774928775,18.36843602054922,24.880084846890565,0.10344827586206896,0.10344827586206896,234,0.5213675213675214,0.0,0
36,0,5,3,34,3,54050,4.0,14,0,10.0,2,8,7,7,3.0,2.0,3.0,3,3,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,598.2794238683128,969.2526748971193,370.9732510288066,16.31178906143623,22.911840882846732,0.06896551724137931,0.06896551724137931,243,0.48559670781893005,0.3292181069958848,0
31,0,9,4,35,1,46840,1.0,16,1,2.0,4,2,2,2,4.0,2.0,2.0,3,3,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,602.0728472222222,997.2561805555555,395.18333333333334,15.545758329548208,23.22647162589608,0.08045977011494253,0.08045977011494253,240,0.5333333333333333,0.041666666666666664,0
26,1,8,3,36,2,157870,1.0,12,2,8.0,5,8,7,4,4.0,4.0,3.0,3,3,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,596.830316091954,1213.1647988505747,616.3344827586205,15.873050375733763,23.87750342176362,0.1111111111111111,0.1111111111111111,232,0.39655172413793105,0.0,0
37,0,9,1,37,1,15140,1.0,14,0,4.0,3,4,1,2,2.0,4.0,2.0,3,3,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,600.5064049586778,1199.4703856749313,598.9639807162534,16.85073068299607,25.00075111712617,0.07279693486590039,0.07279693486590039,242,0.512396694214876,0.0,0
42,0,2,2,38,3,29560,5.0,13,0,23.0,2,20,4,8,3.0,2.0,4.0,3,3,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,600.7709420289856,959.5450000000001,358.7740579710145,15.945343321347302,24.239207202744154,0.11877394636015326,0.11877394636015326,230,0.48695652173913045,0.4782608695652174,0
18,1,1,4,39,1,23350,1.0,14,2,0.0,3,0,0,0,3.0,3.0,3.0,2,3,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,599.6352422907489,1006.1933186490455,406.5580763582966,16.560674437786318,24.41749146672948,0.13026819923371646,0.13026819923371646,227,0.4889867841409692,0.039647577092511016,0
35,0,20,2,40,1,51540,0.0,19,0,12.0,2,11,6,9,3.0,2.0,2.0,2,3,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,601.786959553696,1063.1965829846583,461.4096234309623,16.709472714359197,25.432052673104682,0.0842911877394636,0.0842911877394636,239,0.5481171548117155,0.0,0
36,0,8,3,41,3,69620,4.0,12,2,4.0,2,1,0,0,3.0,3.0,3.0,2,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,602.3254098360655,1034.6093579234973,432.28394808743167,16.685363958581704,24.52681972407288,0.06513409961685823,0.06513409961685823,244,0.5573770491803278,0.0,0
51,0,2,3,42,2,56750,5.0,13,0,13.0,2,4,1,2,4.0,2.0,3.0,2,3,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,603.1515602836879,1058.837730496454,455.68617021276594,15.71940968547974,25.224984826550585,0.09961685823754789,0.09961685823754789,235,0.6085106382978723,0.0,0
41,0,29,1,43,1,23790,1.0,12,0,22.0,6,22,0,4,4.0,2.0,3.0,3,3,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,600.1061294765841,1017.2646694214876,417.15853994490357,17.138376367774963,24.02881505374406,0.07279693486590039,0.07279693486590039,242,0.5082644628099173,0.004132231404958678,0
18,0,7,3,44,1,38120,1.0,15,0,0.0,3,0,0,0,4.0,3.0,3.0,3,3,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,597.6561805555556,1018.188888888889,420.53270833333335,15.169715312545701,24.38271053250282,0.08045977011494253,0.08045977011494253,240,0.4666666666666667,0.008333333333333333,0
28,0,9,3,45,1,46480,0.0,23,2,9.0,2,8,0,7,2.0,1.0,3.0,2,4,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,598.7261612021858,1030.8205601092895,432.09439890710377,16.253653657545698,24.184235411474468,0.06513409961685823,0.06513409961685823,244,0.45491803278688525,0.0,0
31,0,8,1,46,1,29360,4.0,12,1,10.0,2,8,7,7,2.0,4.0,2.0,3,3,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,600.7299999999999,1031.1025,430.3725,16.007742504290917,24.976712831515048,0.08045977011494253,0.08045977011494253,240,0.5125,0.004166666666666667,0
39,0,5,4,47,2,21050,0.0,20,0,19.0,3,18,3,7,3.0,4.0,2.0,3,4,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,598.996524822695,1057.204609929078,458.208085106383,16.53191389684827,26.334686597933764,0.09961685823754789,0.09961685823754789,235,0.4851063829787234,0.0,0
36,0,5,4,48,1,85780,7.0,21,0,11.0,4,9,0,8,2.0,2.0,3.0,3,4,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,600.2210267229254,1070.1879043600563,469.9668776371308,17.970957744273342,26.022582389615682,0.09195402298850575,0.09195402298850575,237,0.46835443037974683,0.0,0
32,0,2,3,49,2,27060,1.0,21,1,13.0,4,13,4,8,4.0,3.0,2.0,3,4,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,601.2511013215859,1019.7370044052863,418.48590308370046,16.671526356724005,26.286114619005613,0.13026819923371646,0.13026819923371646,227,0.5242290748898678,0.013215859030837005,0
38,0,5,2,50,3,63840,3.0,19,2,19.0,4,10,0,1,1.0,2.0,3.0,2,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,599.4771929824561,1013.8626461988305,414.3854532163743,16.868933838438302,23.750850146632285,0.12643678160919541,0.12643678160919541,228,0.47368421052631576,0.013157894736842105,0
58,0,2,3,51,2,39680,2.0,13,2,12.0,3,5,1,2,4.0,3.0,3.0,2,3,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,599.5524104683195,1253.2802341597796,653.72782369146,16.30709694326183,25.17246575287304,0.07279693486590039,0.07279693486590039,242,0.5,0.0,0
31,0,20,1,52,3,99070,0.0,13,1,6.0,3,5,0,3,3.0,4.0,3.0,2,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,599.5509142053445,1147.090857946554,547.5399437412096,16.268580435221125,22.881607303506513,0.09195402298850575,0.09195402298850575,237,0.4472573839662447,0.0,0
31,0,7,4,53,2,132250,3.0,21,1,9.0,2,2,1,0,1.0,1.0,3.0,3,4,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,599.3002092050209,1009.1877963737796,409.8875871687587,17.89126076256422,24.06340516897479,0.0842911877394636,0.0842911877394636,239,0.4769874476987448,0.02510460251046025,0
45,0,3,1,54,1,35400,1.0,13,0,24.0,6,24,9,11,1.0,1.0,3.0,3,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,600.333686440678,1039.2966807909604,438.9629943502825,15.830404839070747,26.02754718255689,0.09578544061302682,0.09578544061302682,236,0.538135593220339,0.0,0
31,0,16,4,55,2,28040,0.0,19,2,3.0,0,2,2,2,3.0,4.0,1.0,3,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,600.384494535519,1117.0323770491805,516.6478825136612,14.988950503354596,24.38224135801534,0.06513409961685823,0.06513409961685823,244,0.5163934426229508,0.0,0
33,0,9,3,56,4,193920,6.0,12,1,12.0,3,10,8,8,4.0,2.0,3.0,3,3,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,600.1894514767934,1007.2801687763713,407.09071729957805,17.052595298969234,24.169925565765258,0.09195402298850575,0.09195402298850575,237,0.48523206751054854,0.02109704641350211,0
39,0,1,4,57,1,196650,1.0,22,1,21.0,6,21,11,10,3.0,1.0,3.0,3,4,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,601.5991156462585,1260.7651020408161,659.1659863945578,17.350350329207338,26.813780398579084,0.06130268199233716,0.06130268199233716,245,0.5183673469387755,0.0,0
43,0,7,4,58,4,24390,0.0,15,0,9.0,2,8,1,7,3.0,4.0,3.0,3,3,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,600.3495594713656,1061.5446402349487,461.195080763583,15.874589235133934,23.471391965784456,0.13026819923371646,0.13026819923371646,227,0.5198237885462555,0.0,0
49,0,1,3,59,3,73140,7.0,22,0,25.0,2,7,0,7,3.0,3.0,3.0,3,4,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,600.708024691358,1197.6394375857337,596.9314128943759,15.776769148039644,23.315479552877278,0.06896551724137931,0.06896551724137931,243,0.49794238683127573,0.0,0
52,1,7,1,60,2,47740,2.0,18,1,11.0,2,8,7,7,3.0,2.0,2.0,3,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,598.5585076708508,1072.8901673640166,474.33165969316593,16.779230655099827,24.36563456546249,0.0842911877394636,0.0842911877394636,239,0.4476987447698745,0.0,0
27,0,15,4,61,3,39020,1.0,22,0,4.0,2,4,1,2,3.0,2.0,2.0,3,4,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,599.542349726776,1239.8872267759564,640.3448770491804,17.44035608398705,24.05532602567831,0.06513409961685823,0.06513409961685823,244,0.5,0.0,0
32,0,1,3,62,3,26620,1.0,11,1,13.0,6,13,11,9,3.0,2.0,3.0,4,3,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,600.6262900976291,1230.3965829846582,629.7702928870292,17.001740255230917,24.856103686401816,0.0842911877394636,0.0842911877394636,239,0.5104602510460251,0.0,0
27,0,13,2,63,4,28560,1.0,12,2,5.0,5,5,0,4,4.0,3.0,3.0,4,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,601.050937950938,1205.206637806638,604.1556998556999,16.36463594165469,24.465190675361033,0.11494252873563218,0.11494252873563218,231,0.5454545454545454,0.0,0
31,0,24,3,64,2,10810,4.0,11,3,13.0,4,7,1,7,4.0,4.0,3.0,4,3,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,599.4443758573389,995.8652263374486,396.4208504801097,18.07420534653329,24.856141355174067,0.06896551724137931,0.06896551724137931,243,0.4773662551440329,0.07407407407407407,0
32,0,7,3,65,2,24720,7.0,13,0,10.0,2,7,0,7,1.0,4.0,2.0,3,3,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,599.7898734177215,1049.6647679324894,449.8748945147679,17.349744394067148,22.901035447792285,0.09195402298850575,0.09195402298850575,237,0.45569620253164556,0.0,0
28,1,9,4,66,1,56730,5.0,14,1,5.0,4,3,2,2,1.0,4.0,2.0,2,3,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,600.9421727395412,1244.5763157894735,643.6341430499325,16.699592190111108,22.929062235476096,0.05363984674329502,0.05363984674329502,247,0.5020242914979757,0.0,0
30,0,13,3,67,4,41970,1.0,13,0,11.0,3,10,1,9,4.0,4.0,3.0,3,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,600.2801724137931,971.3691810344828,371.08900862068964,17.07196977687393,25.107191549119154,0.1111111111111111,0.1111111111111111,232,0.5086206896551724,0.3448275862068966,0
31,0,2,1,68,1,97130,1.0,17,0,10.0,5,10,8,9,3.0,3.0,3.0,2,3,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,601.1784140969163,997.7364170337739,396.5580029368576,16.835357702126252,23.316424399785195,0.13026819923371646,0.13026819923371646,227,0.5374449339207048,0.05286343612334802,0
39,0,19,4,69,1,20620,1.0,13,0,21.0,4,21,13,3,3.0,4.0,3.0,3,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,601.6894736842106,966.2642543859649,364.5747807017544,16.566726757375413,24.996714278052337,0.12643678160919541,0.12643678160919541,228,0.5131578947368421,0.38596491228070173,0
39,1,1,1,70,1,42840,4.0,17,1,12.0,0,1,0,0,4.0,3.0,2.0,3,3,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,599.9529810298102,1198.2577235772358,598.3047425474255,17.15051145684538,23.88432396013284,0.05747126436781609,0.05747126436781609,246,0.4878048780487805,0.0,0
33,0,4,2,71,4,47880,3.0,11,1,9.0,0,7,0,1,2.0,4.0,2.0,3,3,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,600.6184573002754,1045.9055785123967,445.28712121212124,16.732111729839943,23.436661204008114,0.07279693486590039,0.07279693486590039,242,0.5330578512396694,0.0,0
47,0,4,3,72,2,59060,4.0,23,0,21.0,4,3,1,1,4.0,3.0,3.0,4,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,601.0526748971193,990.6812757201645,389.62860082304525,16.56113471739096,22.796376112984223,0.06896551724137931,0.06896551724137931,243,0.5308641975308642,0.07818930041152264,0
43,0,14,3,73,5,38860,1.0,17,2,9.0,2,9,0,0,3.0,3.0,4.0,3,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,602.0107092198581,979.9789361702127,377.96822695035456,17.113301904044125,25.350641524260087,0.09961685823754789,0.09961685823754789,235,0.5404255319148936,0.2127659574468085,0
27,0,2,3,74,1,168230,0.0,17,0,6.0,3,5,1,4,3.0,2.0,3.0,3,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,602.1640692640693,1161.1824675324676,559.0183982683983,16.29380125715734,25.087174855736517,0.11494252873563218,0.11494252873563218,231,0.5411255411255411,0.0,0
54,0,1,4,75,2,29330,3.0,12,2,20.0,2,4,0,3,4.0,3.0,2.0,3,3,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,600.3266522988505,966.1984195402299,365.8717672413793,17.179853007242,25.20389952215505,0.1111111111111111,0.1111111111111111,232,0.5301724137931034,0.4267241379310345,0
43,0,7,2,76,2,65000,8.0,23,0,10.0,3,1,0,0,3.0,1.0,2.0,3,4,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,601.4773809523809,1034.5170168067227,433.0396358543417,17.040393829090704,24.796496075963752,0.08812260536398467,0.08812260536398467,238,0.5504201680672269,0.0,0
45,0,3,1,77,1,171740,9.0,14,1,12.0,6,10,9,8,4.0,4.0,3.0,3,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,600.695867768595,1026.7000688705234,426.00420110192834,17.339065878445577,25.11702607480895,0.07279693486590039,0.07279693486590039,242,0.5041322314049587,0.004132231404958678,0
